Название Скважины,ГЗУ,Связь,Статус работы,Тип Скважины,"Qж (факт), т/сут","Qж (4 часа), т/сут","Рлин, атм","Тлин, °C","Работа, ч",Комментарии
1129,ГЗУ-34 п,1778737166.948,Stop,Pcp,null,null,,,-,
1130,ГЗУ-1 ввг,1783943044.331,Stop,Srp,25.360727088979544,25.329580627583756,,,-,
1131,ГЗУ-33а п,1783942379.055,Running,Srp,25.07056838414092,25.05223507166747,,,-,
1132,ГЗУ-33а п,1783942650.501,Running,Srp,null,30.233885546019152,,,-,
1133,ГЗУ-33а п,1783943334.71,Running,Pcp,null,15.235183969533622,0.9,1934.3,-,
1134,ГЗУ-33а п,1783941786.393,Stop,Srp,38.799134733489566,38.790107194652045,,,-,
1135,ГЗУ-33а п,1783942401.671,Running,Srp,19.295483284173365,19.072869523965696,,,-,
1136,ГЗУ-33а п,1783942953.994,Stop,Srp,25.942501677564874,25.850490632881236,,,-,
1138,ГЗУ-34 п,1783854237.765,Running,Pcp,null,null,,,-,
1139,ГЗУ-24 птв,1783942396.486,Stop,Pcp,81.86380199790045,81.63569955430901,,,-,
1140,ГЗУ-24 птв,1783943456.081,Running,Srp,38.71166048706088,38.76499387764916,,,-,
1141,ГЗУ-24 птв,1783943381.54,,Pcp,18.73254034150249,18.82076831321687,,,-,
1145,ГЗУ-34 п,1783942596.091,Running,Pcp,10.908274333260621,56.9167111176381,,,-,
1146,ГЗУ-34 п,1783824060.96,Running,Pcp,null,null,,,-,
1149,ГЗУ-34 п,1783943337.138,Stop,Pcp,10.13853702399303,10.03184140195018,,,-,
1152,ГЗУ-34 п,1781056832.445,,Pcp,null,null,,,-,
1153,ГЗУ-33а п,1783942017.52,Running,Srp,26.273202534905558,26.47954213634986,,,-,
1158,ГЗУ-34 п,1778735969.065,Running,Pcp,null,null,,,-,
1161,ГЗУ-33а п,1783943442.944,Running,Srp,17.503632925394193,17.38019811722678,,,-,
1166,ГЗУ-9 птв,1783943150.337,Running,Srp,55.08709816957195,54.81562982480369,,,-,
1167,ГЗУ-9 птв,1783943303.416,Running,Pcp,60.89358625102134,60.84709161219259,,,-,
1169,ГЗУ-9 птв,1783943492.096,Running,Srp,39.12848971016899,39.15634641193358,,,-,
1171,ГЗУ-11 птв,1779932640.683,Running,Pcp,null,null,,,-,
1172,ГЗУ-11 птв,1783942761.394,,Srp,42.46496860465481,39.90527776774178,,,-,
1173,ГЗУ-11 птв,1783942056.191,Running,Srp,14.923702967267602,null,,,-,
1174,ГЗУ-11 птв,1783942722.476,Running,Srp,52.88905086820769,50.824244266682335,,,-,
1175,ГЗУ-11 птв,1783939752.698,Running,Pcp,43.60875468104355,43.43292158177271,,,-,
1177,ГЗУ-18 птв,1783942664.06,Running,Srp,8.021987976495048,7.93100101546069,,,-,
1178,ГЗУ-18 птв,1777020876.993,Running,Pcp,null,null,,,-,
